tweet_id,favorites,retweets,user_followers,user_favourites,date_time
880935762899988482,16048,2552,8774393,146004,2017-06-30 23:47:07+00:00
880872448815771648,20013,3508,8774393,146004,2017-06-30 19:35:32+00:00
880465832366813184,26804,5696,8774393,146004,2017-06-29 16:39:47+00:00
880221127280381952,25363,3813,8774393,146004,2017-06-29 00:27:25+00:00
880095782870896641,25997,3977,8773687,146003,2017-06-28 16:09:20+00:00
879862464715927552,21048,3207,8773687,146003,2017-06-28 00:42:13+00:00
879674319642796034,297,10,8773687,146003,2017-06-27 12:14:36+00:00
879492040517615616,22084,2916,8774393,146004,2017-06-27 00:10:17+00:00
879415818425184262,99485,40661,8774393,146004,2017-06-26 19:07:24+00:00
879376492567855104,15812,2864,8773687,146003,2017-06-26 16:31:08+00:00
879130579576475649,0,6235,8773687,146003,2017-06-26 00:13:58+00:00
879050749262655488,21215,4300,8773687,146003,2017-06-25 18:56:45+00:00
879008229531029506,17883,2463,8773688,146003,2017-06-25 16:07:47+00:00
878776093423087618,18220,3748,8773688,146003,2017-06-25 00:45:22+00:00
878604707211726852,28352,6520,8774394,146004,2017-06-24 13:24:20+00:00
878404777348136964,0,1181,8773688,146003,2017-06-24 00:09:53+00:00
878316110768087041,0,6110,8774394,146004,2017-06-23 18:17:33+00:00
878281511006478336,7285,1181,8773688,146003,2017-06-23 16:00:04+00:00
878057613040115712,39641,6235,8774394,146004,2017-06-23 01:10:23+00:00
877736472329191424,74619,17391,8774394,146004,2017-06-22 03:54:17+00:00
877611172832227328,0,73,8773688,146003,2017-06-21 19:36:23+00:00
877556246731214848,21389,3495,8774394,146004,2017-06-21 15:58:08+00:00
877316821321428993,25810,4774,8773688,146003,2017-06-21 00:06:44+00:00
877201837425926144,25518,5124,8774394,146004,2017-06-20 16:29:50+00:00
876838120628539392,19493,3063,8774394,146004,2017-06-19 16:24:33+00:00
876537666061221889,22280,4305,8773688,146003,2017-06-18 20:30:39+00:00
876484053909872640,17692,2180,8773688,146003,2017-06-18 16:57:37+00:00
876120275196170240,26374,4294,8774394,146004,2017-06-17 16:52:05+00:00
875747767867523072,23723,3926,8773688,146003,2017-06-16 16:11:53+00:00
875144289856114688,20661,4514,8774394,146004,2017-06-15 00:13:52+00:00
875097192612077568,25886,5595,8773688,146003,2017-06-14 21:06:43+00:00
875021211251597312,24049,4348,8773688,146003,2017-06-14 16:04:48+00:00
874680097055178752,26240,4264,8773688,146003,2017-06-13 17:29:20+00:00
874434818259525634,0,13386,8773688,146003,2017-06-13 01:14:41+00:00
874296783580663808,24592,3781,8773688,146003,2017-06-12 16:06:11+00:00
874057562936811520,21450,3669,8773688,146003,2017-06-12 00:15:36+00:00
874012996292530176,32383,9451,8774394,146004,2017-06-11 21:18:31+00:00
873580283840344065,22876,3626,8774394,146004,2017-06-10 16:39:04+00:00
